Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2018-11-27,1571.730712890625,1578.091658969686,1526.081695824085,1541.5890711277443,3344839
2018-11-28,1649.60009765625,1653.8406945215543,1565.2866301844272,1570.6913383364583,5313249
2018-11-29,1630.184814453125,1660.4927155054168,1615.2179296864263,1660.4927155054168,4035441
2018-11-30,1636.587158203125,1655.503636216142,1629.6025921751063,1634.716297740299,5268901
2018-12-03,1648.3529052734375,1654.6722362272342,1636.6288660103558,1649.683274710971,1610576
2018-12-04,1672.0089111328125,1679.1182221230968,1638.8739109602127,1648.8518343146127,3270615
2018-12-05,1668.5999755859375,1677.954279672317,1650.5149876856042,1667.9763553135122,2501539
2018-12-06,1656.91748046875,1677.1228182848554,1646.02493313402,1661.3244377457318,2321216
2018-12-07,1658.9962158203125,1666.2302720248904,1640.5370959892878,1650.5566358326842,1680420
2018-12-10,1642.8651123046875,1672.1336467241501,1629.727472689873,1642.1998768176015,2010786
2018-12-11,1662.9874267578125,1671.3023638916015,1630.559171936035,1638.0426153564451,2942014
2018-12-12,1676.9566650390625,1681.2803920146844,1650.4735074360922,1663.9021520344709,2219993
2018-12-13,1648.519287109375,1687.682617651055,1641.7842088570983,1682.9431444551872,3748429
2018-12-14,1654.4647216796875,1662.1144237302178,1642.4080620669947,1648.8521387565374,2473761
2018-12-17,1658.2474365234375,1667.0612468389518,1650.514506798122,1662.155415158411,1227921
2018-12-18,1652.8841552734375,1664.6498073286648,1643.3635963262925,1656.2517441852306,1768742
2018-12-19,1636.753662109375,1650.3486647147404,1629.7691965331437,1650.3486647147404,2498833
2018-12-20,1624.7801513671875,1642.1167730718557,1618.0865871151775,1624.572277961854,1940277
2018-12-21,1576.3460693359375,1621.4129950598808,1568.6547512824484,1619.7500073726399,3729956
2018-12-24,1595.2203369140625,1612.1828252220405,1583.9951742618134,1584.6604096859203,1864116
2018-12-26,1570.857421875,1597.9641901794373,1555.1006612292865,1597.9641901794373,2446614
2018-12-27,1587.27978515625,1614.511202581288,1556.639264017834,1587.3214004396182,4968201
2018-12-28,1576.553466796875,1596.467697738707,1574.0173707392566,1592.310229775846,2239130
2018-12-31,1574.0592041015625,1587.3214881402766,1568.3218772177836,1586.489994432503,1879740
2019-01-01,1582.166259765625,1588.1529738310971,1567.365631241685,1576.5120619810264,1094883
